Waiting for data. Press Ctrl+C to end.
Source  Event                  Ch  Data
  0:1   Port subscribed            129:0 -> 128:0
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note on                 2, note 53, velocity 99
129:0   Note on                 3, note 53, velocity 110
129:0   Note off                1, note 50, velocity 110
129:0   Note off                2, note 50, velocity 99
129:0   Note off                3, note 50, velocity 110
129:0   Note off                1, note 53, velocity 110
129:0   Note off                2, note 53, velocity 99
129:0   Note off                3, note 53, velocity 110
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 0, note 82, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                0, note 82, velocity 86
129:0   Note on                 0, note 81, velocity 88
129:0   Note off                0, note 81, velocity 86
129:0   Note on                 0, note 80, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                0, note 80, velocity 86
129:0   Note on                 0, note 74, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                0, note 74, velocity 86
129:0   Note on                 0, note 73, velocity 88
129:0   Note off                0, note 73, velocity 86
129:0   Note on                 0, note 71, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                0, note 71, velocity 86
129:0   Note on                 0, note 79, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                0, note 79, velocity 86
129:0   Note on                 0, note 71, velocity 88
129:0   Note off                0, note 71, velocity 86
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 0, note 84, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                0, note 84, velocity 86
129:0   Note on                 0, note 83, velocity 88
129:0   Note off                0, note 83, velocity 86
129:0   Note on                 0, note 82, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                0, note 82, velocity 86
129:0   Note on                 0, note 71, velocity 88
129:0   Note on                 1, note 60, velocity 110
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note on                 2, note 60, velocity 99
129:0   Note on                 3, note 60, velocity 110
129:0   Note off                0, note 71, velocity 86
129:0   Note off                1, note 60, velocity 110
129:0   Note off                2, note 60, velocity 99
129:0   Note off                3, note 60, velocity 110
129:0   Note on                 1, note 59, velocity 110
129:0   Note on                 2, note 59, velocity 99
129:0   Note on                 3, note 59, velocity 110
129:0   Note off                1, note 59, velocity 110
129:0   Note off                2, note 59, velocity 99
129:0   Note off                3, note 59, velocity 110
129:0   Note on                 1, note 58, velocity 110
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 2, note 58, velocity 99
129:0   Note on                 3, note 58, velocity 110
129:0   Note off                1, note 58, velocity 110
129:0   Note off                2, note 58, velocity 99
129:0   Note off                3, note 58, velocity 110
129:0   Note on                 1, note 47, velocity 110
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note on                 2, note 47, velocity 99
129:0   Note on                 3, note 47, velocity 110
129:0   Note off                1, note 47, velocity 110
129:0   Note off                2, note 47, velocity 99
129:0   Note off                3, note 47, velocity 110
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note on                 0, note 86, velocity 88
129:0   Note off                0, note 86, velocity 86
129:0   Note on                 0, note 85, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                0, note 85, velocity 86
129:0   Note on                 0, note 84, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                0, note 84, velocity 86
129:0   Note on                 0, note 73, velocity 88
129:0   Note off                0, note 73, velocity 86
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 1, note 62, velocity 110
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note on                 2, note 62, velocity 99
129:0   Note on                 3, note 62, velocity 110
129:0   Note off                1, note 62, velocity 110
129:0   Note off                2, note 62, velocity 99
129:0   Note off                3, note 62, velocity 110
129:0   Note on                 1, note 61, velocity 110
129:0   Note on                 2, note 61, velocity 99
129:0   Note on                 3, note 61, velocity 110
129:0   Note off                1, note 61, velocity 110
129:0   Note off                2, note 61, velocity 99
129:0   Note off                3, note 61, velocity 110
129:0   Note on                 1, note 60, velocity 110
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 2, note 60, velocity 99
129:0   Note on                 3, note 60, velocity 110
129:0   Note off                1, note 60, velocity 110
129:0   Note off                2, note 60, velocity 99
129:0   Note off                3, note 60, velocity 110
129:0   Note on                 1, note 49, velocity 110
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note on                 2, note 49, velocity 99
129:0   Note on                 3, note 49, velocity 110
129:0   Note off                1, note 49, velocity 110
129:0   Note off                2, note 49, velocity 99
129:0   Note off                3, note 49, velocity 110
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note on                 0, note 82, velocity 88
129:0   Note off                0, note 82, velocity 95
129:0   Note on                 0, note 77, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                0, note 77, velocity 95
129:0   Note on                 0, note 72, velocity 88
129:0   Note on                 1, note 55, velocity 110
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note on                 2, note 55, velocity 99
129:0   Note on                 3, note 55, velocity 110
129:0   Note off                0, note 72, velocity 95
129:0   Note on                 0, note 84, velocity 88
129:0   Note off                0, note 84, velocity 95
129:0   Note on                 0, note 68, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                0, note 68, velocity 86
129:0   Note off                1, note 55, velocity 110
129:0   Note off                2, note 55, velocity 99
129:0   Note off                3, note 55, velocity 110
129:0   Note on                 0, note 70, velocity 88
129:0   Note on                 1, note 50, velocity 110
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note on                 2, note 50, velocity 99
129:0   Note on                 3, note 50, velocity 110
129:0   Note off                0, note 70, velocity 86
129:0   Note on                 0, note 68, velocity 88
129:0   Note off                0, note 68, velocity 86
129:0   Note on                 0, note 75, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                0, note 75, velocity 86
129:0   Note off                1, note 50, velocity 110
129:0   Note off                2, note 50, velocity 99
129:0   Note off                3, note 50, velocity 110
129:0   Note on                 0, note 72, velocity 88
129:0   Note on                 1, note 48, velocity 110
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note on                 2, note 48, velocity 99
129:0   Note on                 3, note 48, velocity 110
129:0   Note off                0, note 72, velocity 86
129:0   Note off                1, note 48, velocity 110
129:0   Note off                2, note 48, velocity 99
129:0   Note off                3, note 48, velocity 110
129:0   Note on                 0, note 77, velocity 88
129:0   Note on                 1, note 53, velocity 110
129:0   Note on                 2, note 53, velocity 99
129:0   Note on                 3, note 53, velocity 110
129:0   Note off                0, note 77, velocity 86
129:0   Note off                1, note 53, velocity 110
129:0   Note off                2, note 53, velocity 99
129:0   Note off                3, note 53, velocity 110
129:0   Note on                 0, note 72, velocity 88
129:0   Note on                 1, note 58, velocity 110
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 2, note 58, velocity 99
129:0   Note on                 3, note 58, velocity 110
129:0   Note off                0, note 72, velocity 86
129:0   Note off                1, note 58, velocity 110
129:0   Note off                2, note 58, velocity 99
129:0   Note off                3, note 58, velocity 110
129:0   Note on                 0, note 77, velocity 88
129:0   Note on                 1, note 51, velocity 110
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note on                 2, note 51, velocity 99
129:0   Note on                 3, note 51, velocity 110
129:0   Note off                0, note 77, velocity 86
129:0   Note off                1, note 51, velocity 110
129:0   Note off                2, note 51, velocity 99
129:0   Note off                3, note 51, velocity 110
129:0   Note on                 0, note 84, velocity 88
129:0   Note on                 1, note 47, velocity 110
129:0   Note on                 2, note 47, velocity 99
129:0   Note on                 3, note 47, velocity 110
129:0   Note off                0, note 84, velocity 86
129:0   Note off                1, note 47, velocity 110
129:0   Note off                2, note 47, velocity 99
129:0   Note off                3, note 47, velocity 110
129:0   Note on                 0, note 79, velocity 88
129:0   Note on                 1, note 53, velocity 110
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 2, note 53, velocity 99
129:0   Note on                 3, note 53, velocity 110
129:0   Note off                0, note 79, velocity 86
129:0   Note off                1, note 53, velocity 110
129:0   Note off                2, note 53, velocity 99
129:0   Note off                3, note 53, velocity 110
129:0   Note on                 0, note 85, velocity 88
129:0   Note on                 1, note 48, velocity 110
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note on                 2, note 48, velocity 99
129:0   Note on                 3, note 48, velocity 110
129:0   Note off                0, note 85, velocity 86
129:0   Note off                1, note 48, velocity 110
129:0   Note off                2, note 48, velocity 99
129:0   Note off                3, note 48, velocity 110
129:0   Note on                 0, note 84, velocity 88
129:0   Note on                 1, note 55, velocity 110
129:0   Note on                 2, note 55, velocity 99
129:0   Note on                 3, note 55, velocity 110
129:0   Note off                0, note 84, velocity 95
129:0   Note off                1, note 55, velocity 110
129:0   Note off                2, note 55, velocity 99
129:0   Note off                3, note 55, velocity 110
129:0   Note on                 0, note 84, velocity 88
129:0   Note on                 1, note 50, velocity 110
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 2, note 50, velocity 99
129:0   Note on                 3, note 50, velocity 110
129:0   Note off                0, note 84, velocity 95
129:0   Note off                1, note 50, velocity 110
129:0   Note off                2, note 50, velocity 99
129:0   Note off                3, note 50, velocity 110
129:0   Note on                 0, note 84, velocity 88
129:0   Note on                 1, note 60, velocity 110
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note on                 2, note 60, velocity 99
129:0   Note on                 3, note 60, velocity 110
129:0   Note off                0, note 84, velocity 95
129:0   Note off                1, note 60, velocity 110
129:0   Note off                2, note 60, velocity 99
129:0   Note off                3, note 60, velocity 110
129:0   Note on                 1, note 60, velocity 110
129:0   Note on                 2, note 60, velocity 99
129:0   Note on                 3, note 60, velocity 110
129:0   Note off                1, note 60, velocity 110
129:0   Note off                2, note 60, velocity 99
129:0   Note off                3, note 60, velocity 110
129:0   Note on                 0, note 86, velocity 88
129:0   Note on                 1, note 60, velocity 110
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 2, note 60, velocity 99
129:0   Note on                 3, note 60, velocity 110
129:0   Note off                0, note 86, velocity 86
129:0   Note off                1, note 60, velocity 110
129:0   Note off                2, note 60, velocity 99
129:0   Note off                3, note 60, velocity 110
129:0   Note on                 0, note 74, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                0, note 74, velocity 127
129:0   Note on                 0, note 73, velocity 88
129:0   Note off                0, note 73, velocity 127
129:0   Note on                 0, note 84, velocity 88
129:0   Note on                 1, note 48, velocity 110
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 2, note 48, velocity 99
129:0   Note on                 3, note 48, velocity 110
129:0   Note off                0, note 84, velocity 127
129:0   Note off                1, note 48, velocity 110
129:0   Note off                2, note 48, velocity 99
129:0   Note off                3, note 48, velocity 110
129:0   Note on                 0, note 77, velocity 88
129:0   Note on                 1, note 50, velocity 110
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note on                 2, note 50, velocity 99
129:0   Note on                 3, note 50, velocity 110
129:0   Note off                0, note 77, velocity 127
129:0   Note on                 0, note 77, velocity 88
129:0   Note off                0, note 77, velocity 127
129:0   Note on                 0, note 79, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                0, note 79, velocity 127
129:0   Note off                1, note 50, velocity 110
129:0   Note off                2, note 50, velocity 99
129:0   Note off                3, note 50, velocity 110
129:0   Note on                 0, note 72, velocity 88
129:0   Note on                 1, note 48, velocity 110
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note on                 2, note 48, velocity 99
129:0   Note on                 3, note 48, velocity 110
129:0   Note off                0, note 72, velocity 127
129:0   Note off                1, note 48, velocity 110
129:0   Note off                2, note 48, velocity 99
129:0   Note off                3, note 48, velocity 110
129:0   Note on                 0, note 82, velocity 88
129:0   Note on                 1, note 53, velocity 110
129:0   Note on                 2, note 53, velocity 99
129:0   Note on                 3, note 53, velocity 110
129:0   Note off                0, note 82, velocity 127
129:0   Note off                1, note 53, velocity 110
129:0   Note off                2, note 53, velocity 99
129:0   Note off                3, note 53, velocity 110
129:0   Note on                 0, note 84, velocity 88
129:0   Note on                 1, note 50, velocity 110
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 2, note 50, velocity 99
129:0   Note on                 3, note 50, velocity 110
129:0   Note off                0, note 84, velocity 127
129:0   Note off                1, note 50, velocity 110
129:0   Note off                2, note 50, velocity 99
129:0   Note off                3, note 50, velocity 110
129:0   Note on                 1, note 58, velocity 110
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note on                 2, note 58, velocity 99
129:0   Note on                 3, note 58, velocity 110
129:0   Note off                1, note 58, velocity 110
129:0   Note off                2, note 58, velocity 99
129:0   Note off                3, note 58, velocity 110
129:0   Note on                 1, note 60, velocity 110
129:0   Note on                 2, note 60, velocity 99
129:0   Note on                 3, note 60, velocity 110
129:0   Note off                1, note 60, velocity 110
129:0   Note off                2, note 60, velocity 99
129:0   Note off                3, note 60, velocity 110
129:0   Note on                 0, note 67, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                0, note 67, velocity 121
129:0   Note on                 0, note 72, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                0, note 72, velocity 121
129:0   Note on                 0, note 65, velocity 88
129:0   Note on                 1, note 47, velocity 110
129:0   Note on                 2, note 47, velocity 99
129:0   Note on                 3, note 47, velocity 110
129:0   Note off                0, note 65, velocity 121
129:0   Note off                1, note 47, velocity 110
129:0   Note off                2, note 47, velocity 99
129:0   Note off                3, note 47, velocity 110
129:0   Note on                 0, note 70, velocity 88
129:0   Note on                 1, note 52, velocity 110
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 2, note 52, velocity 99
129:0   Note on                 3, note 52, velocity 110
129:0   Note off                0, note 70, velocity 121
129:0   Note off                1, note 52, velocity 110
129:0   Note off                2, note 52, velocity 99
129:0   Note off                3, note 52, velocity 110
129:0   Note on                 0, note 72, velocity 88
129:0   Note on                 1, note 41, velocity 110
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note on                 2, note 41, velocity 99
129:0   Note on                 3, note 41, velocity 110
129:0   Note off                0, note 72, velocity 121
129:0   Note off                1, note 41, velocity 110
129:0   Note off                2, note 41, velocity 99
129:0   Note off                3, note 41, velocity 110
129:0   Note on                 0, note 77, velocity 88
129:0   Note on                 1, note 46, velocity 110
129:0   Note on                 2, note 46, velocity 99
129:0   Note on                 3, note 46, velocity 110
129:0   Note off                0, note 77, velocity 121
129:0   Note off                1, note 46, velocity 110
129:0   Note off                2, note 46, velocity 99
129:0   Note off                3, note 46, velocity 110
129:0   Note on                 0, note 79, velocity 88
129:0   Note on                 1, note 48, velocity 110
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 2, note 48, velocity 99
129:0   Note on                 3, note 48, velocity 110
129:0   Note off                0, note 79, velocity 121
129:0   Note off                1, note 48, velocity 110
129:0   Note off                2, note 48, velocity 99
129:0   Note off                3, note 48, velocity 110
129:0   Note on                 1, note 53, velocity 110
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note on                 2, note 53, velocity 99
129:0   Note on                 3, note 53, velocity 110
129:0   Note off                1, note 53, velocity 110
129:0   Note off                2, note 53, velocity 99
129:0   Note off                3, note 53, velocity 110
129:0   Note on                 1, note 55, velocity 110
129:0   Note on                 2, note 55, velocity 99
129:0   Note on                 3, note 55, velocity 110
129:0   Note off                1, note 55, velocity 110
129:0   Note off                2, note 55, velocity 99
129:0   Note off                3, note 55, velocity 110
129:0   Note on                 0, note 67, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                0, note 67, velocity 121
129:0   Note on                 0, note 72, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                0, note 72, velocity 121
129:0   Note on                 0, note 65, velocity 88
129:0   Note on                 1, note 47, velocity 110
129:0   Note on                 2, note 47, velocity 99
129:0   Note on                 3, note 47, velocity 110
129:0   Note off                0, note 65, velocity 121
129:0   Note off                1, note 47, velocity 110
129:0   Note off                2, note 47, velocity 99
129:0   Note off                3, note 47, velocity 110
129:0   Note on                 0, note 70, velocity 88
129:0   Note on                 1, note 52, velocity 110
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 2, note 52, velocity 99
129:0   Note on                 3, note 52, velocity 110
129:0   Note off                0, note 70, velocity 121
129:0   Note off                1, note 52, velocity 110
129:0   Note off                2, note 52, velocity 99
129:0   Note off                3, note 52, velocity 110
129:0   Note on                 0, note 72, velocity 88
129:0   Note on                 1, note 41, velocity 110
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note on                 2, note 41, velocity 99
129:0   Note on                 3, note 41, velocity 110
129:0   Note off                0, note 72, velocity 121
129:0   Note off                1, note 41, velocity 110
129:0   Note off                2, note 41, velocity 99
129:0   Note off                3, note 41, velocity 110
129:0   Note on                 0, note 77, velocity 88
129:0   Note on                 1, note 46, velocity 110
129:0   Note on                 2, note 46, velocity 99
129:0   Note on                 3, note 46, velocity 110
129:0   Note off                0, note 77, velocity 121
129:0   Note off                1, note 46, velocity 110
129:0   Note off                2, note 46, velocity 99
129:0   Note off                3, note 46, velocity 110
129:0   Note on                 0, note 79, velocity 88
129:0   Note on                 1, note 48, velocity 110
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 2, note 48, velocity 99
129:0   Note on                 3, note 48, velocity 110
129:0   Note off                0, note 79, velocity 121
129:0   Note off                1, note 48, velocity 110
129:0   Note off                2, note 48, velocity 99
129:0   Note off                3, note 48, velocity 110
129:0   Note on                 1, note 53, velocity 110
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note on                 2, note 53, velocity 99
129:0   Note on                 3, note 53, velocity 110
129:0   Note off                1, note 53, velocity 110
129:0   Note off                2, note 53, velocity 99
129:0   Note off                3, note 53, velocity 110
129:0   Note on                 1, note 55, velocity 110
129:0   Note on                 2, note 55, velocity 99
129:0   Note on                 3, note 55, velocity 110
129:0   Note off                1, note 55, velocity 110
129:0   Note off                2, note 55, velocity 99
129:0   Note off                3, note 55, velocity 110
129:0   Note on                 0, note 77, velocity 88
129:0   Note on                 1, note 55, velocity 110
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 2, note 55, velocity 99
129:0   Note on                 3, note 55, velocity 110
129:0   Note off                0, note 77, velocity 121
129:0   Note off                1, note 55, velocity 110
129:0   Note off                2, note 55, velocity 99
129:0   Note off                3, note 55, velocity 110
129:0   Note on                 0, note 79, velocity 88
129:0   Note on                 1, note 55, velocity 110
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note on                 2, note 55, velocity 99
129:0   Note on                 3, note 55, velocity 110
129:0   Note off                0, note 79, velocity 121
129:0   Note off                1, note 55, velocity 110
129:0   Note off                2, note 55, velocity 99
129:0   Note off                3, note 55, velocity 110
129:0   Note on                 0, note 72, velocity 88
129:0   Note on                 1, note 55, velocity 110
129:0   Note on                 2, note 55, velocity 99
129:0   Note on                 3, note 55, velocity 110
129:0   Note off                0, note 72, velocity 121
129:0   Note off                1, note 55, velocity 110
129:0   Note off                2, note 55, velocity 99
129:0   Note off                3, note 55, velocity 110
129:0   Note on                 0, note 77, velocity 88
129:0   Note on                 1, note 55, velocity 110
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 2, note 55, velocity 99
129:0   Note on                 3, note 55, velocity 110
129:0   Note off                0, note 77, velocity 121
129:0   Note off                1, note 55, velocity 110
129:0   Note off                2, note 55, velocity 99
129:0   Note off                3, note 55, velocity 110
129:0   Note on                 0, note 79, velocity 88
129:0   Note on                 1, note 55, velocity 110
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note on                 2, note 55, velocity 99
129:0   Note on                 3, note 55, velocity 110
129:0   Note off                0, note 79, velocity 121
129:0   Note off                1, note 55, velocity 110
129:0   Note off                2, note 55, velocity 99
129:0   Note off                3, note 55, velocity 110
129:0   Note on                 0, note 82, velocity 88
129:0   Note on                 1, note 55, velocity 87
129:0   Note on                 2, note 55, velocity 78
129:0   Note on                 3, note 55, velocity 110
129:0   Note off                0, note 82, velocity 121
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                1, note 55, velocity 87
129:0   Note off                2, note 55, velocity 78
129:0   Note off                3, note 55, velocity 110
129:0   Note on                 0, note 84, velocity 88
129:0   Note on                 1, note 55, velocity 110
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note on                 2, note 55, velocity 99
129:0   Note on                 3, note 55, velocity 110
129:0   Note off                0, note 84, velocity 127
129:0   Note off                1, note 55, velocity 110
129:0   Note off                2, note 55, velocity 99
129:0   Note off                3, note 55, velocity 110
129:0   Note on                 0, note 84, velocity 88
129:0   Note off                0, note 84, velocity 127
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 0, note 84, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                0, note 84, velocity 127
129:0   Note on                 0, note 84, velocity 88
129:0   Note off                0, note 84, velocity 127
129:0   Note on                 1, note 55, velocity 110
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 2, note 55, velocity 99
129:0   Note on                 3, note 55, velocity 110
129:0   Note off                1, note 55, velocity 110
129:0   Note off                2, note 55, velocity 99
129:0   Note off                3, note 55, velocity 110
129:0   Note on                 0, note 84, velocity 88
129:0   Note on                 1, note 55, velocity 110
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note on                 2, note 55, velocity 99
129:0   Note on                 3, note 55, velocity 110
129:0   Note off                0, note 84, velocity 127
129:0   Note off                1, note 55, velocity 110
129:0   Note off                2, note 55, velocity 99
129:0   Note off                3, note 55, velocity 110
129:0   Note on                 0, note 84, velocity 88
129:0   Note on                 1, note 55, velocity 87
129:0   Note on                 2, note 55, velocity 78
129:0   Note on                 3, note 55, velocity 110
129:0   Note off                0, note 84, velocity 127
129:0   Note on                 0, note 86, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                1, note 55, velocity 87
129:0   Note off                2, note 55, velocity 78
129:0   Note off                3, note 55, velocity 110
129:0   Note off                0, note 86, velocity 127
129:0   Note on                 1, note 55, velocity 110
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note on                 2, note 55, velocity 99
129:0   Note on                 3, note 55, velocity 110
129:0   Note off                1, note 55, velocity 110
129:0   Note off                2, note 55, velocity 99
